0, 42336, 30, 1
1, 2646, 32, 1
2, 2438, 30, 1
3, 2332, 27, 1
4, 2326, 27, 1
5, 2332, 27, 1
6, 2314, 35, 1
7, 2364, 30, 1
8, 2576, 32, 1
9, 2514, 27, 1
10, 2317, 35, 1
11, 2322, 35, 1
12, 2316, 35, 1
13, 2317, 27, 1
14, 2299, 35, 1
15, 2372, 35, 1
16, 2379, 30, 1
17, 3478, 30, 1
18, 2520, 32, 1
19, 2334, 35, 1
20, 2328, 35, 1
21, 2326, 30, 1
22, 2328, 32, 1
23, 2317, 27, 1
24, 2384, 32, 1
25, 3543, 27, 1
26, 2337, 35, 1
27, 2320, 35, 1
28, 2322, 32, 1
29, 2323, 30, 1
30, 2314, 30, 1
31, 3339, 35, 1
32, 2361, 35, 1
33, 9744, 35, 1
34, 2302, 32, 1
35, 2325, 35, 1
36, 2326, 27, 1
37, 2358, 35, 1
38, 2314, 30, 1
39, 2316, 35, 1
40, 2317, 30, 1
41, 2314, 35, 1
42, 2299, 27, 1
43, 2325, 32, 1
44, 2320, 30, 1
45, 2322, 35, 1
46, 2823, 35, 1
47, 2313, 35, 1
48, 2426, 35, 1
49, 2311, 27, 1
50, 2311, 32, 1
51, 2302, 32, 1
52, 2317, 27, 1
53, 2331, 35, 1
54, 2367, 27, 1
55, 2308, 32, 1
56, 9086, 32, 1
57, 2320, 30, 1
58, 2305, 30, 1
59, 2328, 35, 1
60, 2314, 30, 1
61, 2927, 27, 1
62, 2912, 27, 1
63, 2402, 27, 1
64, 2316, 35, 1
65, 2334, 32, 1
66, 2302, 32, 1
67, 2302, 35, 1
68, 2302, 30, 1
69, 2388, 32, 1
70, 2322, 32, 1
71, 2420, 32, 1
72, 2332, 35, 1
73, 2305, 30, 1
74, 2313, 35, 1
75, 2364, 27, 1
76, 2316, 35, 1
77, 2496, 35, 1
78, 9378, 32, 1
79, 2307, 35, 1
80, 2296, 35, 1
81, 2304, 35, 1
82, 2361, 27, 1
83, 3339, 35, 1
84, 2396, 30, 1
85, 2310, 35, 1
86, 2343, 35, 1
87, 2305, 32, 1
88, 2290, 32, 1
89, 2299, 27, 1
90, 2319, 32, 1
91, 2355, 30, 1
92, 2323, 30, 1
93, 2432, 30, 1
94, 2290, 27, 1
95, 2317, 30, 1
96, 2311, 32, 1
97, 2308, 32, 1
98, 2308, 30, 1
99, 2509, 35, 1
